Year,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_OTHER,37
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_FLOOD,5
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_FLOOD,1
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000002,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,1
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000003,CL_COMP_BREAKDOWN.HZT_FIREX,3
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000004,CL_COMP_BREAKDOWN.HZT_OTHER,1
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000005,CL_COMP_BREAKDOWN.HZT_FIREX,2
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000007,CL_COMP_BREAKDOWN.HZT_OTHER,3
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000009,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,10
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_LNDSL,1
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,3
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_STORM,5
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_OTHER,23
2015,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_FIREX,12143
2016,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_FIREX,9566
2017,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_FIREX,8446
2015,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_FLOOD,826278
2016,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_FLOOD,614447
2017,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_FLOOD,268783
2015,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_STORM,22483
2016,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_STORM,211249
2017,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_STORM,53404
2015,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,10757
2016,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,13383
2017,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,29535
2015,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_LNDSL,4763
2016,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_LNDSL,1048
2017,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_LNDSL,651
2015,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_CNFLCT,7679
2016,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_CNFLCT,36607
2017,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_CNFLCT,63794
2015,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_OTHER,54
2016,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_OTHER,10697
2017,CL_SERIES.VC_DSR_AFFCT,,CL_COMP_BREAKDOWN.HZT_OTHER,90530
2015,CL_SERIES.VC_DSR_AFFCT,,,884157
2016,CL_SERIES.VC_DSR_AFFCT,,,897069
2017,CL_SERIES.VC_DSR_AFFCT,,,515153
2015,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_FIREX,99
2016,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_FIREX,410
2017,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_FIREX,438
2015,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_FLOOD,3064
2016,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_FLOOD,3469
2017,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_FLOOD,1652
2015,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_STORM,447
2016,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_STORM,2985
2017,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_STORM,3094
2015,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_LNDSL,97
2015,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_CNFLCT,1245
2016,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_CNFLCT,3529
2017,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_CNFLCT,2579
2015,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,,4952
2016,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,,11693
2017,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000001,,8984
2015,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000002,CL_COMP_BREAKDOWN.HZT_FIREX,39
2016,CL_SERIES.VC_DSR_AFFCT,CL_REF_AREA.GA1000002,CL_COMP_BREAKDOWN.HZT_FIREX,103
